=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_22-31-39\slow.log ===
2026-09-09T22:32:06.739 SLOW POST /inspect-shm status=200 duration_ms=1772.4
2026-09-09T22:32:06.997 SLOW POST /inspect-shm status=200 duration_ms=1655.3
2026-09-09T22:32:16.392 SLOW POST /inspect-shm status=200 duration_ms=1564.2
2026-09-09T22:32:26.552 SLOW POST /inspect-shm status=200 duration_ms=1513.9
2026-09-09T22:32:36.350 SLOW POST /inspect-shm status=200 duration_ms=1736.4
2026-09-09T22:32:36.491 SLOW POST /inspect-shm status=200 duration_ms=1573.7
2026-09-09T22:32:36.522 SLOW POST /inspect-shm status=200 duration_ms=1458.0
2026-09-09T22:32:46.548 SLOW POST /inspect-shm status=200 duration_ms=1672.7
2026-09-09T22:32:46.602 SLOW POST /inspect-shm status=200 duration_ms=1620.2
2026-09-09T22:32:46.688 SLOW POST /inspect-shm status=200 duration_ms=1575.7
2026-09-09T22:32:56.285 SLOW POST /inspect-shm status=200 duration_ms=1609.9
2026-09-09T22:32:56.473 SLOW POST /inspect-shm status=200 duration_ms=1575.8
2026-09-09T22:32:56.643 SLOW POST /inspect-shm status=200 duration_ms=1459.3
2026-09-09T22:32:58.590 SLOW POST /inspect-shm status=200 duration_ms=2268.5
2026-09-09T22:33:06.586 SLOW POST /inspect-shm status=200 duration_ms=1633.1
2026-09-09T22:33:06.753 SLOW POST /inspect-shm status=200 duration_ms=1699.0
2026-09-09T22:33:16.339 SLOW POST /inspect-shm status=200 duration_ms=1459.8
2026-09-09T22:33:16.652 SLOW POST /inspect-shm status=200 duration_ms=1224.7
2026-09-09T22:33:26.820 SLOW POST /inspect-shm status=200 duration_ms=1682.9
2026-09-09T22:33:26.866 SLOW POST /inspect-shm status=200 duration_ms=1701.6
2026-09-09T22:33:27.080 SLOW POST /inspect-shm status=200 duration_ms=1206.4
2026-09-09T22:33:36.768 SLOW POST /inspect-shm status=200 duration_ms=1542.9
2026-09-09T22:33:36.893 SLOW POST /inspect-shm status=200 duration_ms=1492.6
2026-09-09T22:33:46.840 SLOW POST /inspect-shm status=200 duration_ms=1007.3
2026-09-09T22:33:47.140 SLOW POST /inspect-shm status=200 duration_ms=1806.4
2026-09-09T22:33:56.961 SLOW POST /inspect-shm status=200 duration_ms=1642.4
2026-09-09T22:33:57.413 SLOW POST /inspect-shm status=200 duration_ms=1466.2
2026-09-09T22:34:26.945 SLOW POST /inspect-shm status=200 duration_ms=1013.3
2026-09-09T22:34:37.628 SLOW POST /inspect-shm status=200 duration_ms=1034.0
2026-09-09T22:34:37.941 SLOW POST /inspect-shm status=200 duration_ms=1737.6
2026-09-09T22:34:38.091 SLOW POST /inspect-shm status=200 duration_ms=1749.0
2026-09-09T22:34:38.830 SLOW POST /inspect-shm status=200 duration_ms=1718.4
2026-09-09T22:34:48.146 SLOW POST /inspect-shm status=200 duration_ms=1361.3
2026-09-09T22:34:48.224 SLOW POST /inspect-shm status=200 duration_ms=1552.1
2026-09-09T22:34:57.665 SLOW POST /inspect-shm status=200 duration_ms=1604.3
2026-09-09T22:34:58.372 SLOW POST /inspect-shm status=200 duration_ms=1320.0
2026-09-09T22:35:08.123 SLOW POST /inspect-shm status=200 duration_ms=1841.3
2026-09-09T22:35:08.482 SLOW POST /inspect-shm status=200 duration_ms=1597.8
2026-09-09T22:35:08.638 SLOW POST /inspect-shm status=200 duration_ms=1375.5
2026-09-09T22:35:08.685 SLOW POST /inspect-shm status=200 duration_ms=1571.4
2026-09-09T22:35:18.468 SLOW POST /inspect-shm status=200 duration_ms=1605.2
2026-09-09T22:35:18.765 SLOW POST /inspect-shm status=200 duration_ms=1462.1
2026-09-09T22:35:28.616 SLOW POST /inspect-shm status=200 duration_ms=1659.6
2026-09-09T22:35:28.710 SLOW POST /inspect-shm status=200 duration_ms=1618.9
2026-09-09T22:35:28.944 SLOW POST /inspect-shm status=200 duration_ms=1645.5
2026-09-09T22:35:38.323 SLOW POST /inspect-shm status=200 duration_ms=1632.1
2026-09-09T22:35:38.714 SLOW POST /inspect-shm status=200 duration_ms=1426.5
2026-09-09T22:35:48.299 SLOW POST /inspect-shm status=200 duration_ms=1545.4
2026-09-09T22:35:48.774 SLOW POST /inspect-shm status=200 duration_ms=1449.1
2026-09-09T22:35:49.240 SLOW POST /inspect-shm status=200 duration_ms=1129.0
2026-09-09T22:35:58.807 SLOW POST /inspect-shm status=200 duration_ms=1553.9
2026-09-09T22:35:59.277 SLOW POST /inspect-shm status=200 duration_ms=1403.5
2026-09-09T22:36:08.983 SLOW POST /inspect-shm status=200 duration_ms=1627.0
2026-09-09T22:36:09.344 SLOW POST /inspect-shm status=200 duration_ms=1251.4
2026-09-09T22:36:19.092 SLOW POST /inspect-shm status=200 duration_ms=1727.3
2026-09-09T22:36:19.279 SLOW POST /inspect-shm status=200 duration_ms=1609.9
2026-09-09T22:36:19.576 SLOW POST /inspect-shm status=200 duration_ms=1290.3
2026-09-09T22:36:28.663 SLOW POST /inspect-shm status=200 duration_ms=1447.9
2026-09-09T22:36:29.528 SLOW POST /inspect-shm status=200 duration_ms=1483.5
2026-09-09T22:36:29.731 SLOW POST /inspect-shm status=200 duration_ms=1608.3
2026-09-09T22:36:39.125 SLOW POST /inspect-shm status=200 duration_ms=1762.0
2026-09-09T22:36:39.749 SLOW POST /inspect-shm status=200 duration_ms=1618.8
2026-09-09T22:36:39.984 SLOW POST /inspect-shm status=200 duration_ms=1425.4
2026-09-09T22:36:49.097 SLOW POST /inspect-shm status=200 duration_ms=1001.2
2026-09-09T22:36:49.347 SLOW POST /inspect-shm status=200 duration_ms=1791.3
2026-09-09T22:36:49.956 SLOW POST /inspect-shm status=200 duration_ms=1174.8
2026-09-09T22:36:59.495 SLOW POST /inspect-shm status=200 duration_ms=1057.9
2026-09-09T22:36:59.636 SLOW POST /inspect-shm status=200 duration_ms=1533.9
2026-09-09T22:36:59.714 SLOW POST /inspect-shm status=200 duration_ms=1693.1
2026-09-09T22:36:59.886 SLOW POST /inspect-shm status=200 duration_ms=1394.5
2026-09-09T22:37:09.884 SLOW POST /inspect-shm status=200 duration_ms=1564.2
2026-09-09T22:37:09.947 SLOW POST /inspect-shm status=200 duration_ms=1680.9
2026-09-09T22:37:10.072 SLOW POST /inspect-shm status=200 duration_ms=1419.4
2026-09-09T22:37:19.617 SLOW POST /inspect-shm status=200 duration_ms=1657.9
2026-09-09T22:37:20.224 SLOW POST /inspect-shm status=200 duration_ms=1444.8
2026-09-09T22:37:20.381 SLOW POST /inspect-shm status=200 duration_ms=1096.6
2026-09-09T22:37:29.805 SLOW POST /inspect-shm status=200 duration_ms=1689.1
2026-09-09T22:37:30.270 SLOW POST /inspect-shm status=200 duration_ms=1494.9
2026-09-09T22:37:30.535 SLOW POST /inspect-shm status=200 duration_ms=1452.1
2026-09-09T22:37:40.440 SLOW POST /inspect-shm status=200 duration_ms=1540.1
2026-09-09T22:37:40.736 SLOW POST /inspect-shm status=200 duration_ms=1423.9
2026-09-09T22:37:40.846 SLOW POST /inspect-shm status=200 duration_ms=1721.3
2026-09-09T22:37:50.389 SLOW POST /inspect-shm status=200 duration_ms=1569.0
2026-09-09T22:37:50.623 SLOW POST /inspect-shm status=200 duration_ms=1458.3
2026-09-09T22:37:50.779 SLOW POST /inspect-shm status=200 duration_ms=1327.8
2026-09-09T22:38:00.014 SLOW POST /inspect-shm status=200 duration_ms=1603.9
2026-09-09T22:38:00.646 SLOW POST /inspect-shm status=200 duration_ms=1426.5
2026-09-09T22:38:10.216 SLOW POST /inspect-shm status=200 duration_ms=1624.2
2026-09-09T22:38:20.370 SLOW POST /inspect-shm status=200 duration_ms=1678.3
2026-09-09T22:38:20.931 SLOW POST /inspect-shm status=200 duration_ms=1275.3
2026-09-09T22:38:30.857 SLOW POST /inspect-shm status=200 duration_ms=1588.4
2026-09-09T22:38:30.998 SLOW POST /inspect-shm status=200 duration_ms=1600.5
2026-09-09T22:38:31.138 SLOW POST /inspect-shm status=200 duration_ms=1425.8
2026-09-09T22:38:31.205 SLOW POST /inspect-shm status=200 duration_ms=1583.8
2026-09-09T22:38:40.351 SLOW POST /inspect-shm status=200 duration_ms=1503.3
2026-09-09T22:38:40.756 SLOW POST /inspect-shm status=200 duration_ms=1506.6
2026-09-09T22:38:40.944 SLOW POST /inspect-shm status=200 duration_ms=1492.0
2026-09-09T22:38:41.006 SLOW POST /inspect-shm status=200 duration_ms=1113.2
2026-09-09T22:38:50.655 SLOW POST /inspect-shm status=200 duration_ms=1625.1
2026-09-09T22:38:51.062 SLOW POST /inspect-shm status=200 duration_ms=1578.7
