2026-09-22 22:50:23.534 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:23.536 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9575
2026-09-22 22:50:23.536 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9576
2026-09-22 22:50:23.536 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:23.701 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9577
2026-09-22 22:50:23.701 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9578
2026-09-22 22:50:23.701 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:23.703 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9579
2026-09-22 22:50:23.703 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9580
2026-09-22 22:50:23.703 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:23.860 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9581
2026-09-22 22:50:23.860 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9582
2026-09-22 22:50:23.860 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:23.862 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9583
2026-09-22 22:50:23.862 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9584
2026-09-22 22:50:23.862 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:24.012 WARN  [plc-fins-publisher] c.e.i.o.i.f.FanOutCoordinator - plc fins worker error: FINS timeout host=169.254.220.231:9600
2026-09-22 22:50:24.020 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9585
2026-09-22 22:50:24.020 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:24.022 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9586
2026-09-22 22:50:24.022 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9587
2026-09-22 22:50:24.022 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:24.186 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9588
2026-09-22 22:50:24.186 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9589
2026-09-22 22:50:24.186 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:24.188 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9590
2026-09-22 22:50:24.188 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9591
2026-09-22 22:50:24.188 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:24.353 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9592
2026-09-22 22:50:24.354 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9593
2026-09-22 22:50:24.354 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:24.355 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9594
2026-09-22 22:50:24.356 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9595
2026-09-22 22:50:24.356 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:24.514 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9596
