,,,,,,,,,,,,,
,,,,,,,,,D0,W0,H0,CIO0,Т0
,,CIO0,D0,H0,W0,,,,D100,W10,H10,CIO10,Т10
,,CIO9,D199,H9,W9,,,,D200,W20,H20,CIO20,Т20
,,Входы,Селекторы,НО/НЗ,Входы,,,,D300,W30,H30,CIO30,Т30
,,до обработки,,,,,,,D400,W40,H40,CIO40,Т40
,,,,,,,,,D500,W50,H50,CIO50,Т50
,,CIO100,D200,H10,W10,,,,D600,W60,H60,CIO60,Т60
,,CIO109,D399,H19,W19,,,,D700,W70,H70,CIO70,Т70
,,Выходы,Селекторы,НО/НЗ,Выходы,,,,D800,W80,H80,CIO80,Т80
,,,,,до обработки,,,,D900,W90,H90,CIO90,Т90
,,,,,,,,,D1000,W100,H100,CIO100,Т100
,,,D400,H20,W20,,,,D1100,W110,H110,CIO110,Т110
,,,D599,H29,W29,,,,D1200,,,CIO120,Т120
,,Аналоговые,Параметры,Настройки,Состояния,,,,D1300,,,CIO130,Т130
,,,,,,,,,D1400,,,CIO140,Т140
,,,,,,,,,D1500,,,CIO150,Т150
,,,,,,,,,D1600,,,CIO160,Т160
,,W40,H40,D1000,Т20,,,,D1700,,,CIO170,Т170
,,W59,H59,D1599,Т69,,,,D1800,,,CIO180,Т180
,,Зона 1,,,,,,,D1900,,,CIO190,Т190
,,,,,,,,,D2000,,,CIO200,Т200
,,,,,,,,,D2100,,,CIO210,Т210
,,W60,H60,D1600,Т70,,,,D2200,,,CIO220,Т220
,,W79,H79,D2199,Т119,,,,D2300,,,CIO230,Т230
,,Зона 2,,,,,,,D2400,,,CIO240,Т240
,,,,,,,,,D2500,,,CIO250,Т250
,,,,,,,,,D2600,,,CIO260,Т260
,,W80,H80,D2200,Т120,,,,D2700,,,CIO270,Т270
,,W99,H99,D2799,Т159,,,Общая зона,D2800,,,CIO280,Т280
,,Зона 3,,,,,,,D2900,,,,Т290
,,,,,,,,,D3000,,,,Т300
,,,,,,,,,D3100,,,,Т310
,,CIO140,CIO190,CIO240,,,,,D3200,,,,Т320
,,CIO189,CIO239,CIO289,,,,,D3300,,,,Т330
,,Состояния,Неисправности,Управление,,,,,D3400,,,,Т340
,,,,,,,,,D3500,,,,Т350
,,,,,,,,,D3600,,,,Т360
,,,,,,,,,D3700,,,,Т370
,,,,,,,,,D3800,,,,Т380
,,D600,D700,D800,D900,,,,D3900,,,,Т390
,,D699,D799,D899,D999,,,Настройки,D4000,,,,Т400
,,Общее чтение,Чтение зона 1,Чтение зона 2,Чтение зона 3,,,,D4100,,,,Т410
,,,,,,,,,D4200,,,,Т420
,,,,,,,,,D4300,,,,Т430
,,,,,,,,,D4400,,,,Т440
,,,,,,,,,D4500,,,,Т450
,,,,,,,,,D4600,,,,Т460
,,,,,,,,,D4700,,,,Т470
,,,,,,,,,D4800,,,,Т480
